# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 287                                  -6.479324             0.572433                      -5.906891 
 288                                  -6.478953             0.572062                      -5.906891 
 289                                  -6.478413             0.571524                      -5.906889 
 290                                  -6.477659             0.570778                      -5.906881 
 291                                  -6.476698             0.569832                      -5.906867 
 292                                  -6.475588             0.568744                      -5.906844 
 293                                  -6.474437             0.567611                      -5.906827 
 294                                  -6.473353             0.566543                      -5.906810 
 295                                  -6.472430             0.565631                      -5.906799 
 296                                  -6.471709             0.564912                      -5.906797 
 297                                  -6.471157             0.564358                      -5.906799 
 298                                  -6.470685             0.563887                      -5.906798 
 299                                  -6.470199             0.563406                      -5.906794 
 300                                  -6.469625             0.562843                      -5.906782 
 301                                  -6.468950             0.562181                      -5.906769 
 302                                  -6.468213             0.561462                      -5.906751 
 303                                  -6.467517             0.560782                      -5.906735 
 304                                  -6.466995             0.560271                      -5.906723 
 305                                  -6.466784             0.560074                      -5.906710 
 306                                  -6.467020             0.560317                      -5.906703 
 307                                  -6.467780             0.561080                      -5.906700 
 308                                  -6.469085             0.562381                      -5.906705 
 309                                  -6.470887             0.564170                      -5.906717 
 310                                  -6.473078             0.566349                      -5.906730 
 311                                  -6.475534             0.568788                      -5.906746 
 312                                  -6.478114             0.571348                      -5.906766 
 313                                  -6.480685             0.573893                      -5.906792 
 314                                  -6.483111             0.576298                      -5.906812 
 315                                  -6.485289             0.578458                      -5.906832 
 316                                  -6.487141             0.580294                      -5.906847 
 317                                  -6.488624             0.581764                      -5.906860 
 318                                  -6.489728             0.582864                      -5.906864 
 319                                  -6.490498             0.583628                      -5.906869 
 320                                  -6.490992             0.584122                      -5.906870 
 321                                  -6.491303             0.584432                      -5.906871 
 322                                  -6.491517             0.584648                      -5.906869 
 323                                  -6.491732             0.584847                      -5.906885 
 324                                  -6.491985             0.585086                      -5.906899 
 325                                  -6.492313             0.585398                      -5.906915 
 326                                  -6.492730             0.585795                      -5.906934 
 327                                  -6.493225             0.586271                      -5.906954 
 328                                  -6.493771             0.586794                      -5.906977 
 329                                  -6.494310             0.587309                      -5.907002 
 330                                  -6.494753             0.587728                      -5.907025 
 331                                  -6.494991             0.587946                      -5.907045 
 332                                  -6.494922             0.587851                      -5.907071 
 333                                  -6.494436             0.587345                      -5.907091 
 334                                  -6.493464             0.586359                      -5.907104 
 335                                  -6.491990             0.584868                      -5.907121 
 336                                  -6.490026             0.582895                      -5.907131 
