# Potential, Kinetic and Total energy per atom (divided by the total number of atoms) of the Ar
# from the first step to the 500
# The potential energy is calculated with the Lennard-Jones potential shiftted to avoid discontinuties
# The kinetic energy is the sum of 1/2v**2 of each particle
# The total energy is the sum of the kinetic and potential energy 
# Step                      Potential Energy per atom   Kinetic Energy per atom     Total Energy per atom 
 267                                  -6.579787             0.539934                      -6.039853 
 268                                  -6.579817             0.539984                      -6.039833 
 269                                  -6.578881             0.539091                      -6.039790 
 270                                  -6.577212             0.537487                      -6.039725 
 271                                  -6.575111             0.535447                      -6.039664 
 272                                  -6.572858             0.533254                      -6.039604 
 273                                  -6.570709             0.531148                      -6.039561 
 274                                  -6.568824             0.529294                      -6.039530 
 275                                  -6.567271             0.527763                      -6.039509 
 276                                  -6.566039             0.526539                      -6.039500 
 277                                  -6.565054             0.525547                      -6.039507 
 278                                  -6.564214             0.524684                      -6.039530 
 279                                  -6.563412             0.523856                      -6.039556 
 280                                  -6.562567             0.523005                      -6.039562 
 281                                  -6.561703             0.522121                      -6.039582 
 282                                  -6.560854             0.521243                      -6.039611 
 283                                  -6.560080             0.520451                      -6.039629 
 284                                  -6.559493             0.519845                      -6.039648 
 285                                  -6.559191             0.519525                      -6.039666 
 286                                  -6.559244             0.519564                      -6.039680 
 287                                  -6.559675             0.519989                      -6.039687 
 288                                  -6.560470             0.520774                      -6.039696 
 289                                  -6.561541             0.521844                      -6.039697 
 290                                  -6.562794             0.523096                      -6.039698 
 291                                  -6.564122             0.524425                      -6.039697 
 292                                  -6.565444             0.525749                      -6.039695 
 293                                  -6.566722             0.527026                      -6.039695 
 294                                  -6.567944             0.528256                      -6.039688 
 295                                  -6.569138             0.529466                      -6.039672 
 296                                  -6.570337             0.530690                      -6.039647 
 297                                  -6.571573             0.531952                      -6.039621 
 298                                  -6.572847             0.533249                      -6.039597 
 299                                  -6.574123             0.534550                      -6.039572 
 300                                  -6.575344             0.535793                      -6.039551 
 301                                  -6.576417             0.536890                      -6.039527 
 302                                  -6.577219             0.537731                      -6.039487 
 303                                  -6.577653             0.538198                      -6.039454 
 304                                  -6.577602             0.538176                      -6.039426 
 305                                  -6.576980             0.537571                      -6.039409 
 306                                  -6.575699             0.536325                      -6.039374 
 307                                  -6.573766             0.534429                      -6.039337 
 308                                  -6.571220             0.531929                      -6.039291 
 309                                  -6.568180             0.528928                      -6.039252 
 310                                  -6.564785             0.525585                      -6.039200 
 311                                  -6.561237             0.522100                      -6.039137 
 312                                  -6.557769             0.518692                      -6.039077 
 313                                  -6.554603             0.515573                      -6.039030 
 314                                  -6.551892             0.512907                      -6.038985 
 315                                  -6.549733             0.510776                      -6.038956 
